"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.minutissimum.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.727866938716,405.927782025741,0.37956,NA,13,5,16.768,16.818,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.bare_rock+Ca","bare_rock+Ca","s(bare_rock, k = 5, bs = ""cr"") + s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.959944557733,406.159859644758,0.39311,NA,13,6,17,17.051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Achnanthidium.minutissimum.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.632164569038,406.832079656063,0.38761,NA,13,4,17.672,17.723,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",399.441789431717,407.763945610515,0.3796,NA,9,2,19.482,18.655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Fe+K+secchi_m","Fe+K+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",400.983042505165,410.132145071847,0.2918,NA,17,9,21.023,21.023,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.Fe+Mg+secchi_m","Fe+Mg+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",401.614067135901,410.763169702583,0.28386,NA,17,8,21.654,21.654,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",402.324758844845,411.52467393187,0.28339,NA,13,6,22.365,22.415,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.K+Mg+secchi_m","K+Mg+secchi_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",403.294943552802,412.444046119484,0.25571,NA,17,7,23.335,23.335,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.Fe+K+waterT","Fe+K+waterT","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",403.629707590969,412.778810157651,0.03671,NA,17,6,23.669,23.669,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.K+secchi_m","K+secchi_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",403.999884208096,413.199799295122,0.25441,NA,13,5,24.04,24.09,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
