"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Fragilaria.tenera.Alkalinity+erosion_prop+Fe","Alkalinity+erosion_prop+Fe","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",310.363039675192,319.512142241874,0.39113,NA,17,3,0.085,0.085,0.172,0.172,0,0,0,1,0,0,1,1,0,0,0,0
"Fragilaria.tenera.erosion_prop+Mg+waterT","erosion_prop+Mg+waterT","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",311.438146137931,320.587248704612,0.58423,NA,17,6,1.16,1.16,0.101,0.101,0,1,0,0,0,0,0,1,0,0,0,1
"Navicula.notha.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.325276868242,273.474379434923,0.54466,NA,17,4,0,0,0.164,0.164,1,0,0,0,0,0,1,0,0,0,0,1
"Navicula.notha.lake_catch_ratio+Mg+Si","lake_catch_ratio+Mg+Si","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",264.556857920987,273.705960487668,0.61362,NA,17.02,7,0.232,0.232,0.146,0.146,0,1,0,0,1,0,0,0,0,1,0,0
"Navicula.radiosa.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",226.083667476264,235.283582563289,0.4656,NA,13,3,0,0,0.205,0.2,0,0,0,0,0,0,1,0,0,0,1,0
"Navicula.radiosa.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",227.514215384546,236.714130471572,0.49589,NA,13,4,1.431,1.431,0.1,0.098,1,0,0,0,0,0,1,0,0,0,0,0
"Nitzschia.Atucyacu.1.lake_catch_ratio+Si","lake_catch_ratio+Si","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",261.723084702653,270.922999789679,0.84945,NA,13,5,0,0,0.208,0.198,0,0,0,0,1,0,0,0,0,1,0,0
"Nitzschia.Atucyacu.1.Fe+lake_catch_ratio+Si","Fe+lake_catch_ratio+Si","s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",261.837509075047,270.986611641728,0.83378,NA,17,7,0.114,0.064,0.197,0.192,0,0,0,0,1,0,1,0,0,1,0,0
"Nitzschia.Atucyacu.1.lake_catch_ratio+Mg+Si","lake_catch_ratio+Mg+Si","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",263.125422970087,272.274525536769,0.8526,NA,17,6,1.402,1.352,0.103,0.101,0,1,0,0,1,0,0,0,0,1,0,0
"Nitzschia.cf.oberheimiana.erosion_prop+Fe+mix_event","erosion_prop+Fe+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",260.771461062983,269.920563629665,0.44656,NA,17.19,4,0,0,0.234,0.233,0,0,0,0,0,0,1,1,0,0,1,0
"Nitzschia.cf.oberheimiana.erosion_prop+Fe+lake_catch_ratio","erosion_prop+Fe+lake_catch_ratio","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",260.882030945385,270.031133512067,0.44693,NA,17,4,0.111,0.111,0.221,0.221,0,0,0,0,0,0,1,1,0,1,0,0
"Nitzschia.cf.oberheimiana.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",262.524360040651,271.724275127676,0.36766,NA,13,0,1.753,1.804,0.097,0.095,0,0,0,0,0,0,1,0,0,0,1,0
"Pseudostaurosira.laucensis","erosion_prop+Fe+waterT","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",336.713673238546,345.862775805228,0.06223,NA,17.02,1,0,0,0.508,0.507,0,0,0,0,0,0,1,1,0,0,0,1
"Pseudostaurosira.santaremensis.Mg+mix_event+Si","Mg+mix_event+Si","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",333.616527466938,342.76563003362,0.42512,NA,17,5,0,0,0.203,0.202,0,1,0,0,1,0,0,0,0,0,1,0
"Pseudostaurosira.santaremensis.Ca+Si+waterT","Ca+Si+waterT","s(Ca, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.057088434605,344.206191001286,0.52163,NA,17,3,1.441,1.441,0.099,0.099,1,0,0,0,1,0,0,0,0,0,0,1
"Pseudostaurosira.santaremensis.Fe+secchi_m+Si","Fe+secchi_m+Si","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",335.164913778773,344.314016345455,0.33059,NA,17,2,1.548,1.548,0.093,0.093,0,0,0,0,1,0,1,0,1,0,0,0
