"","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"CJ-003-S",2.88312178005941,2.29835083771916,0.904174368284164,2.99732084205518,0.164352855784437,0.887054378050957,1.43912734244285,4.10500747482416,0.989004615698537,1.46960555089225,3.59298128922869,3.36154726279432,2.21534232524005
"CJ-020-S",2.8596485787364,1.90124030207331,0.857332496431269,2.74962038519993,0.0293837776852096,0.867467487859051,1.21168107629914,4.69189668717077,1.28443073384452,1.28545378606845,3.61407950927518,0.447213595499958,4.68952239465812
"CJ-023-S",2.55876855181658,1.60151678365001,0.950851458888546,2.74962038519993,0.161368002234975,0.860338006570994,1.5991076337705,3.95646858563411,0.961421094066448,1.53534096560896,3.59870845345521,2.68328157299975,1.51657508881031
"CJ-024-S",2.68363231052613,1.60151678365001,0.44870631990508,2.81174252544139,-0.0132282657337552,0.857935264719429,1.08682235709906,4.4973340175194,1.34733001531695,1.62446774025357,3.61576598957189,1.26491106406735,5.09789635045673
"CJ-039-S",2.7183771123549,1.60151678365001,0.94101424370557,2.78179126527535,0.0718820073061254,0.882524537954881,1.18361144921843,3.73377887825199,0.942008053022313,1.68071524169522,3.59552377770781,2.50998007960223,2.4472634232955
"CJ-043-S",2.78049733058082,1.90124030207331,1.09131515969722,2.91436960542991,0.0755469613925307,0.930949031167523,1.40000234592796,3.81844034780952,1.01494034979294,1.81629460553912,3.57706073828134,2.60768096208106,1.9177364944121
"CJ-051-S",2.78049733058082,2.5991076337705,0.44870631990508,2.91436960542991,0.511883360978874,0.923244018630276,1.41702305042196,4.02128235220358,1.01072386539177,1.78704581941592,3.58458561926804,1.61245154965971,0.728542628128238
"CJ-097-S",2.60449605277107,1.90124030207331,0.44870631990508,2.67710485173431,0.313867220369153,0.94101424370557,0.92649678927322,4.40981904267791,0.942008053022313,1.40269975556247,3.59870845345521,2.79284800875379,3.04658002159799
"CJ-121-S",3.06671717328623,1.90124030207331,0.44870631990508,3.08273152882018,0.209515014542631,0.948412965778601,1.62785723263825,2.99749559965802,0.942008053022313,1.26613052205251,3.56705578890775,3.14642654451045,1.60661862462751
"CJ-001-D",3.0193032669544,2.20153367344338,0.752048447819439,3.04291006198173,0.190331698170291,1.09864372581706,2.40283375783253,3.62810782501823,0.966141732739033,1.22349594096239,3.49862065339714,2.58843582110896,0.417671124211382
